file,ref,name
./data/work-in-progress/44_9/kasten_blau_44_9_0269.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_10/kasten_blau_45_10_26r-v.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0002.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0008.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0011.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0012.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0013.xml,#emt_place_id__39,Neuburg
./data/work-in-progress/45_15/kasten_blau_45_15_0015.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0017.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0018.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0021.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0023.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0024.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0026.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0028.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0031.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0033.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0034.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0036.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0039.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0041.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0042.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0045.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0047.xml,#,Heidelberg
./data/work-in-progress/45_15/kasten_blau_45_15_0049.xml,#,Heidelberg
./data/work-in-progress/45_15/kasten_blau_45_15_0052.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0054.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0055.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0056.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0059.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0063.xml,#,Friedrichsburg
./data/work-in-progress/45_15/kasten_blau_45_15_0064.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0066.xml,#,Pottendorf
./data/work-in-progress/45_15/kasten_blau_45_15_0070.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0073.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0074.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0076.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0077.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0079.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0081.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0084.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0085.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0091.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0097.xml,#,Heidelberg
./data/work-in-progress/45_15/kasten_blau_45_15_0099.xml,#,Heidelberg
./data/work-in-progress/45_15/kasten_blau_45_15_0103.xml,#emt_place_id__25,Heidelberg
./data/work-in-progress/45_15/kasten_blau_45_15_0104.xml,#emt_place_id__25,Heidelberg
./data/work-in-progress/45_15/kasten_blau_45_15_0106.xml,#emt_place_id__51,Sagan / Żagań
./data/work-in-progress/45_15/kasten_blau_45_15_0108.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0109.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0111.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0114.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0115.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0116.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0119.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0122.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0126.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0129.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0131.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0134.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0137.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0138.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0140.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0144.xml,#emt_place_id__63,Wien
